industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Technology,101 to 500,,,,,,,,
Telecommunications/ISP,101 to 500,,,,,,,,
Healthcare,Fewer than 100,,,,,,,,
Technology,101 to 500,,,,,,,,
Banking and finance,"15,001 to 50,000",,,,,,,,
Utilities,"2,001 to 5,000",,,,,,,,
Utilities,"10,001 to 15,000",,,,,,,,
Technology,"1,001 to 2,000",,,,,,,,
Transportation,101 to 500,,,,,,,,
Telecommunications/ISP,101 to 500,,,,,,,,
Telecommunications/ISP,"2,001 to 5,000",,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Utilities,"15,001 to 50,000",,,,,,,,
Technology,"5,001 to 10,000",26 to 100,11 to 25,Less than 1 ,2 to 10,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Transportation,101 to 500,,,,,,,,
Cybersecurity,"5,001 to 10,000",,,,,,,,
Cybersecurity,"501 to 1,000",,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Hospitality,"2,001 to 5,000",,,,,,,,
Cybersecurity,"501 to 1,000",,,,,,,,
Education,"2,001 to 5,000",,,,,,,,
Healthcare,"501 to 1,000",,,,,,,,
Transportation,Fewer than 100,1,Less than 1 (part-time),Less than 1 ,1,Less than 1 ,1,Less than 1 ,"$100,001 to 250,000 USD"
Cybersecurity,Fewer than 100,,,,,,,,
Education,"501 to 1,000",,,,,,,,
Government,"More than 100,000",,,,,,,,
Banking and finance,101 to 500,,,,,,,,
Banking and finance,"15,001 to 50,000",,,,,,,,
Manufacturing,"501 to 1,000",,,,,,,,
Manufacturing,"15,001 to 50,000",,,,,,,,
Banking and finance,"501 to 1,000",,,,,,,,
Other (Please specify),"5,001 to 10,000",,,,,,,,
Retail,Fewer than 100,,,,,,,,
Banking and finance,"10,001 to 15,000",,,,,,,,
Banking and finance,"2,001 to 5,000",,,,,,,,
Government,Fewer than 100,,,,,,,,
Technology,101 to 500,,,,,,,,
Insurance,Fewer than 100,,,,,,,,
Technology,101 to 500,,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Technology,Fewer than 100,,,,,,,,
Cybersecurity,101 to 500,,,,,,,,
Banking and finance,"1,001 to 2,000",,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Technology,"More than 100,000",,,,,,,,
Retail,"15,001 to 50,000",,,,,,,,
Technology,"1,001 to 2,000",,,,,,,,
Utilities,"5,001 to 10,000",,,,,,,,
Retail,"15,001 to 50,000",,,,,,,,
Cybersecurity,101 to 500,,,,,,,,
Technology,"501 to 1,000",,,,,,,,
